,Time,NEW,SAME,EXCLUDED
0,03_37 - 05_16,22,254,9
1,05_16 - 22_37,17,213,63
2,22_37 - 16_40,15,168,62
3,16_40 - 12_32,15,139,44
4,12_32 - 11_37,16,144,10
5,11_37 - 19_13,73,123,37
6,19_13 - 15_37,11,164,32
7,15_37 - 05_37,128,149,26
8,05_37 - 18_21,21,169,108
9,18_21 - 13_38,17,139,51
10,13_38 - 02_46,132,132,24
11,02_46 - 04_37,18,252,12
12,04_37 - 16_22,26,156,114
13,16_22 - 10_59,34,125,57
14,10_59 - 17_15,64,121,38
15,17_15 - 19_38,21,176,9
16,19_38 - 01_24,65,186,11
17,01_24 - 06_22,47,233,18
18,06_22 - 20_17,22,178,102
19,20_17 - 23_19,44,193,7
20,23_19 - 14_15,18,143,94
21,14_15 - 11_13,29,133,28
22,11_13 - 23_37,119,118,44
23,23_37 - 15_17,17,155,82
24,15_17 - 22_16,73,157,15
25,22_16 - 20_37,4,201,29
26,20_37 - 03_18,72,191,14
27,03_18 - 04_20,13,256,7
28,04_20 - 02_21,11,249,20
29,02_21 - 14_38,21,145,115
30,14_38 - 18_38,39,153,13
31,18_38 - 21_14,27,186,6
32,21_14 - 11_14,42,120,93
33,11_14 - 17_37,61,124,38
34,17_37 - 21_38,39,177,8
