,Time,NEW,SAME,EXCLUDED
0,16_40 - 12_32,15,139,44
1,12_32 - 11_37,16,144,10
2,11_37 - 19_13,73,123,37
3,19_13 - 15_37,11,164,32
4,15_37 - 18_21,25,165,10
5,18_21 - 13_38,17,139,51
6,13_38 - 16_22,35,147,9
7,16_22 - 10_59,34,125,57
8,10_59 - 17_15,64,121,38
9,17_15 - 19_38,21,176,9
10,19_38 - 20_17,4,196,1
11,20_17 - 14_15,15,146,54
12,14_15 - 11_13,29,133,28
13,11_13 - 15_17,41,131,31
14,15_17 - 22_16,73,157,15
15,22_16 - 20_37,4,201,29
16,20_37 - 14_38,15,151,54
17,14_38 - 18_38,39,153,13
18,18_38 - 21_14,27,186,6
19,21_14 - 11_14,42,120,93
20,11_14 - 17_37,61,124,38
21,17_37 - 21_38,39,177,8
