,Time,NEW,SAME,EXCLUDED
0,03_37 - 22_37,13,217,46
1,22_37 - 16_40,15,168,62
2,16_40 - 12_32,15,139,44
3,12_32 - 11_37,16,144,10
4,11_37 - 19_13,73,123,37
5,19_13 - 15_37,11,164,32
6,15_37 - 18_21,25,165,10
7,18_21 - 13_38,17,139,51
8,13_38 - 02_46,132,132,24
9,02_46 - 04_37,18,252,12
10,04_37 - 16_22,26,156,114
11,16_22 - 10_59,34,125,57
12,10_59 - 17_15,64,121,38
13,17_15 - 19_38,21,176,9
14,19_38 - 01_24,65,186,11
15,01_24 - 20_17,11,189,62
16,20_17 - 23_19,44,193,7
17,23_19 - 14_15,18,143,94
18,14_15 - 11_13,29,133,28
19,11_13 - 23_37,119,118,44
20,23_37 - 15_17,17,155,82
21,15_17 - 22_16,73,157,15
22,22_16 - 20_37,4,201,29
23,20_37 - 03_18,72,191,14
24,03_18 - 04_20,13,256,7
25,04_20 - 02_21,11,249,20
26,02_21 - 14_38,21,145,115
27,14_38 - 18_38,39,153,13
28,18_38 - 21_14,27,186,6
29,21_14 - 11_14,42,120,93
30,11_14 - 17_37,61,124,38
31,17_37 - 21_38,39,177,8
