,Time,NEW,SAME,EXCLUDED
0,03_37 - 22_37,13,217,46
1,22_37 - 16_40,15,168,62
2,16_40 - 12_32,15,139,44
3,12_32 - 11_37,16,144,10
4,11_37 - 19_13,73,123,37
5,19_13 - 15_37,11,164,32
6,15_37 - 18_21,25,165,10
7,18_21 - 13_38,17,139,51
8,13_38 - 02_46,132,132,24
9,02_46 - 16_22,19,163,101
10,16_22 - 10_59,34,125,57
11,10_59 - 17_15,64,121,38
12,17_15 - 19_38,21,176,9
13,19_38 - 01_24,65,186,11
14,01_24 - 20_17,11,189,62
15,20_17 - 23_19,44,193,7
16,23_19 - 14_15,18,143,94
17,14_15 - 11_13,29,133,28
18,11_13 - 23_37,119,118,44
19,23_37 - 15_17,17,155,82
20,15_17 - 22_16,73,157,15
21,22_16 - 20_37,4,201,29
22,20_37 - 03_18,72,191,14
23,03_18 - 02_21,6,254,9
24,02_21 - 14_38,21,145,115
25,14_38 - 18_38,39,153,13
26,18_38 - 21_14,27,186,6
27,21_14 - 11_14,42,120,93
28,11_14 - 17_37,61,124,38
29,17_37 - 21_38,39,177,8
