,Time,Count
0,03_37,264
1,05_16,278
2,22_37,230
3,16_40,183
4,12_32,154
5,11_37,160
6,19_13,196
7,15_37,175
8,05_37,279
9,18_21,190
10,13_38,156
11,02_46,265
12,04_37,271
13,16_22,182
14,10_59,159
15,17_15,185
16,19_38,197
17,01_24,252
18,06_22,282
19,20_17,200
20,23_19,237
21,14_15,161
22,11_13,162
23,23_37,237
24,15_17,172
25,22_16,230
26,20_37,205
27,03_18,264
28,04_20,270
29,02_21,261
30,14_38,166
31,18_38,192
32,21_14,213
33,11_14,162
34,17_37,185
35,21_38,216
