,Time,NEW,SAME,EXCLUDED
0,22_37 - 16_40,15,168,62
1,16_40 - 12_32,15,139,44
2,12_32 - 11_37,16,144,10
3,11_37 - 19_13,73,123,37
4,19_13 - 15_37,11,164,32
5,15_37 - 18_21,25,165,10
6,18_21 - 13_38,17,139,51
7,13_38 - 02_46,132,132,24
8,02_46 - 16_22,19,163,101
9,16_22 - 10_59,34,125,57
10,10_59 - 17_15,64,121,38
11,17_15 - 19_38,21,176,9
12,19_38 - 01_24,65,186,11
13,01_24 - 20_17,11,189,62
14,20_17 - 23_19,44,193,7
15,23_19 - 14_15,18,143,94
16,14_15 - 11_13,29,133,28
17,11_13 - 23_37,119,118,44
18,23_37 - 15_17,17,155,82
19,15_17 - 22_16,73,157,15
20,22_16 - 20_37,4,201,29
21,20_37 - 02_21,67,193,12
22,02_21 - 14_38,21,145,115
23,14_38 - 18_38,39,153,13
24,18_38 - 21_14,27,186,6
25,21_14 - 11_14,42,120,93
26,11_14 - 17_37,61,124,38
27,17_37 - 21_38,39,177,8
