,Time,Count
0,03_37,264
1,05_16,278
2,22_37,230
3,16_40,183
4,12_32,154
5,11_37,160
6,19_13,196
7,15_37,175
8,06_38,281
9,05_37,279
10,18_21,190
11,13_38,156
12,02_46,265
13,04_37,271
14,16_22,182
15,10_59,159
16,17_15,185
17,19_38,197
18,01_24,252
19,06_22,282
20,20_17,200
21,23_19,237
22,14_15,161
23,11_13,162
24,23_37,237
25,15_17,172
26,22_16,230
27,20_37,205
28,03_18,264
29,04_20,270
30,02_21,261
31,14_38,166
32,18_38,192
33,21_14,213
34,11_14,162
35,17_37,185
36,21_38,216
