,Time,NEW,SAME,EXCLUDED
0,22_37 - 16_40,15,168,62
1,16_40 - 12_32,15,139,44
2,12_32 - 11_37,16,144,10
3,11_37 - 19_13,73,123,37
4,19_13 - 15_37,11,164,32
5,15_37 - 18_21,25,165,10
6,18_21 - 13_38,17,139,51
7,13_38 - 16_22,35,147,9
8,16_22 - 10_59,34,125,57
9,10_59 - 17_15,64,121,38
10,17_15 - 19_38,21,176,9
11,19_38 - 01_24,65,186,11
12,01_24 - 20_17,11,189,62
13,20_17 - 23_19,44,193,7
14,23_19 - 14_15,18,143,94
15,14_15 - 11_13,29,133,28
16,11_13 - 23_37,119,118,44
17,23_37 - 15_17,17,155,82
18,15_17 - 22_16,73,157,15
19,22_16 - 20_37,4,201,29
20,20_37 - 02_21,67,193,12
21,02_21 - 14_38,21,145,115
22,14_38 - 18_38,39,153,13
23,18_38 - 21_14,27,186,6
24,21_14 - 11_14,42,120,93
25,11_14 - 17_37,61,124,38
26,17_37 - 21_38,39,177,8
